3225.785 FeI
3243.6887 ArII
3350.9243 ArII
3376.4359 ArII
3388.5309 ArII
3399.3335 FeI
3404.3535 FeI
3407.4585 FeI
3413.1312 FeI
3427.1192 FeI
3443.8762 FeI
3465.8603 FeI
3475.45 FeI
3476.7016 FeI
3480.5055 ArII
3490.5737 FeI
3509.7785 ArII
3519.9936 ArII
3535.3196 ArII
3541.0832 FeI
3548.5144 ArII
3559.5081 ArII
3561.0304 ArII
3565.3786 FeI
3576.6156 ArII
3581.1925 FeI
3588.4407 ArII
3608.8587 FeI
3618.7676 FeI
3631.4629 FeI
3647.8424 FeI
3679.9132 FeI
3687.4564 FeI
3705.5657 FeI
3719.9346 FeI
3859.9114 FeI
3878.5730 FeI
3886.2820 FeI
3969.2570 FeI
4005.2414 FeI
4052.9208 ArII
4063.5939 ArII
4103.9121 ArII
#4237.2198 ArI
4271.7593 ArII
4300.1008 ArI
4325.7615 ArII
4383.5445 ArII
4448.8792 ArII
4461.6521 ArI
4474.7594 ArII
4481.8107 ArII
4579.3495 ArII
4609.5673 ArII
4628.4409 ArII
4637.2328 FeI
4657.9012 ArII
4702.3161 ArI
4726.8683 ArII
4735.9058 ArII
4764.8646 ArII
4806.0205 FeI
4847.8095 ArII
4879.8635 ArII
4957.5966 FeI
4965.0795 FeI
5009.3344 ArI
5062.0371 FeI
5090.4951 FeI
5125.7654 FeI
5141.7827 ArII
5167.4873 ArII
5187.7462 ArI
5227.1697 FeI
5269.5366 FeI
5328.0376 FeI
5341.0233 FeI
5371.4892 ArI
5397.1269 FeI
5405.7741 FeI
5455.6090 FeI
5606.7330 ArI
